ts,total_line
1782491277,0
1782491278,83
1782491279,10083
1782491280,20083
1782491281,29190
1782491282,39190
1782491283,48311
1782491284,58311
1782491285,68311
1782491286,77505
1782491287,87505
1782491288,96609
1782491289,96609
1782491290,96609
1782491291,96609
1782491292,96609
1782491293,96609
1782491294,96609
1782491295,96609
1782491296,96609
1782491297,96609
1782491298,96609
1782491299,115778
1782491300,154942
1782491301,193241
1782491301,231468
1782491302,241468
1782491303,250580
1782491304,260580
1782491305,269713
1782491306,279713
1782491307,288823
1782491308,298823
1782491309,307940
1782491310,317940
1782491311,327068
1782491312,337068
1782491313,346127
1782491314,356127
1782491315,365203
1782491316,375203
1782491317,384310
1782491318,394310
1782491319,413401
1782491320,422508
1782491321,432508
1782491322,441714
1782491323,451714
1782491324,460828
1782491325,470828
1782491326,479944
1782491327,489944
1782491328,499040
1782491329,509040
1782491330,518128
1782491331,528128
1782491332,538128
1782491333,547300
1782491333,557300
1782491334,566405
1782491335,576405
1782491336,585493
1782491337,595493
1782491338,604583
1782491339,614583
1782491340,623687
1782491341,643687
1782491342,652800
1782491343,662800
1782491344,672800
1782491345,681977
1782491346,691977
1782491347,701088
1782491348,711088
1782491349,720192
1782491350,730192
1782491351,740192
1782491352,749345
1782491353,759345
1782491354,768437
1782491355,778437
1782491356,787546
1782491357,797546
1782491358,806644
1782491359,816644
1782491360,825726
1782491361,835726
1782491362,844841
1782491363,854841
1782491364,863940
1782491364,873940
1782491365,893057
1782491366,903057
1782491367,912195
1782491368,922195
1782491369,931272
1782491370,941272
1782491371,950387
1782491372,960387
1782491373,969521
1782491374,979521
1782491375,988633
1782491376,998633
1782491377,1007734
1782491378,1017734
1782491379,1026843
1782491380,1036843
1782491381,1046843
1782491382,1056001
1782491383,1066001
1782491384,1075098
1782491385,1085098
1782491386,1094188
1782491387,1104188
1782491388,1123257
1782491389,1132351
1782491390,1142351
1782491391,1151456
1782491392,1161456
1782491393,1170565
1782491394,1180565
1782491395,1190565
1782491395,1199714
1782491396,1209714
1782491397,1218830
1782491398,1228830
1782491399,1237943
1782491400,1247943
1782491401,1257053
1782491402,1267053
1782491403,1276151
1782491404,1286151
1782491405,1296151
1782491406,1305300
1782491407,1315300
1782491408,1324404
1782491409,1334404
1782491410,1353508
1782491411,1363508
1782491412,1372656
1782491413,1382656
1782491414,1391745
1782491415,1401745
1782491416,1411745
1782491417,1420899
1782491418,1430899
1782491419,1440013
1782491420,1450013
1782491421,1459129
1782491422,1469129
1782491423,1478222
1782491424,1488222
1782491425,1497321
1782491426,1507321
1782491427,1516444
1782491428,1526444
1782491429,1535533
1782491430,1545533
1782491431,1554633
1782491432,1564633
1782491433,1583733
1782491434,1592821
1782491435,1602821
1782491436,1612821
1782491437,1621998
1782491438,1631998
1782491439,1641099
1782491440,1651099
1782491441,1661099
1782491442,1670247
1782491443,1680247
1782491444,1689356
1782491445,1699356
1782491446,1709356
1782491447,1718521
1782491448,1728521
1782491449,1737615
1782491450,1747615
1782491451,1756699
1782491452,1766699
1782491453,1775814
1782491454,1785814
1782491455,1789991
1782491456,1789991
1782491457,1789991
1782491458,1789991
1782491459,1789991
1782491459,1789991
1782491460,1789991
1782491461,1789991
1782491462,1789991
