system,mode,rate_target,run,duration_s,lines_processed,avg_rate,peak_rss_kb,wall_clock_s,user_cpu_s,sys_cpu_s
wcm,simple,1000,1,12,11999,968,84972,12.390,1.50,0.90
wcm,simple,1000,2,12,11999,902,88268,13.290,1.49,0.92
wcm,simple,5000,1,12,59994,4849,86856,12.370,2.19,1.05
wcm,simple,5000,2,12,59999,4846,94628,12.380,2.24,1.00
wcm,simple,10000,1,12,119994,9669,95640,12.410,3.23,1.07
wcm,simple,10000,2,12,119989,9645,89076,12.440,3.11,1.12
wcm,simple,20000,1,12,239986,17466,137300,13.740,5.69,1.33
wcm,simple,20000,2,12,239987,18971,134056,12.650,5.73,1.31
wcm,complex,1000,1,12,11999,898,84996,13.360,1.71,1.06
wcm,complex,1000,2,12,11999,966,84452,12.410,1.57,0.97
wcm,complex,5000,1,12,59997,4457,92992,13.460,3.18,1.14
wcm,complex,5000,2,12,59994,4807,95196,12.480,3.25,1.11
wcm,complex,10000,1,12,119994,9352,138596,12.830,4.93,1.43
wcm,complex,10000,2,12,119995,8726,133996,13.750,5.21,1.35
wcm,complex,20000,1,12,239995,16505,222676,14.540,10.79,1.59
wcm,complex,20000,2,12,239981,15966,215724,15.030,10.13,1.52
